system,dataset,MAPE_avg,MAE_avg,RMSE_avg,MAPE_std,MAE_std,RMSE_std,num_repeats
batlik,corona.csv,0.03714991621976986,0.05374807147898074,0.0720534382456673,0.0012813311596925525,0.0018871002623657524,0.0032461026534508115,30
batlik,cranium.csv,0.02098992049066307,0.04146308510610675,0.05427772665537037,0.0007867101758825187,0.0015901118219677633,0.0021138638016227544,30
batlik,cubus.csv,0.020581815962366117,0.12545236813801577,0.16152335019882103,0.0006228356619773072,0.0035669980768428386,0.005158861156404724,30
batlik,flame.csv,0.02173024620025045,0.038606541072388555,0.048965325262635855,0.0007765402825440073,0.0015069863020490673,0.0019155646867198889,30
batlik,france.csv,0.023576478421936112,0.08173775353299025,0.10551296560742131,0.0005951453419798742,0.002097289432433656,0.002656489683847503,30
batlik,frisco.csv,0.03236681041791457,0.14909543956146212,0.18974976232735438,0.0009686878245275756,0.004053695482366426,0.005615728966251143,30
batlik,jelly.csv,0.02739553905343116,0.050826867617755296,0.08185885669693789,0.001370687200933007,0.003263411073234546,0.009565556869127282,30
batlik,karte.csv,0.03440747217042766,0.3779552509153879,0.47285053862063386,0.0015478935060178039,0.01266288359536649,0.014374303335714062,30
batlik,mandelbrot.csv,0.021138477334208323,0.02722804297190735,0.035616852196770944,0.0007407893130361834,0.0009310919237906677,0.0011681045650289547,30
batlik,strawberry.csv,0.0245698438250894,0.039336117656559734,0.05043382841538554,0.0008709488612071553,0.0015210674197717125,0.0020583136303728177,30
batlik,village.csv,0.04447678493018919,0.16788953771284412,0.38069762899145315,0.004822063665034776,0.018774325601381436,0.056012734218530605,30
dconvert,jpeg-large.csv,0.029412584437550963,0.09963580425445298,0.14495986124583365,0.00045887114162784586,0.0022874990069198364,0.004300018359084817,30
dconvert,jpeg-medium.csv,0.023967781691990826,0.04277503980911557,0.05968286713381089,0.0003187474401259691,0.0007928796911461458,0.001461167605556676,30
dconvert,jpeg-small.csv,0.030644261483240707,0.013159429769421449,0.01708066495936222,0.0005306392167381233,0.00024276643362555509,0.00036004715369856495,30
dconvert,png-large.csv,0.025901546452434667,0.06320751097508576,0.08475036086346496,0.0003251739222658682,0.0009125680516991458,0.0015072863784809675,30
dconvert,png-medium.csv,0.025929425836788016,0.016489697465214153,0.020866996657753604,0.00034245289357821336,0.0002111743813398526,0.0003001383465457751,30
dconvert,png-small.csv,0.031027680533495902,0.013912906183379705,0.018602583620056703,0.00046283443064648903,0.000191632039995279,0.00032862716474667665,30
dconvert,psd-large.csv,0.015782518150894362,0.589268547957106,1.0020937602174962,0.00026717459824384624,0.012138804219534328,0.023741311138744964,30
dconvert,psd-medium.csv,0.023886070954532275,0.030971162847214077,0.040114273298640396,0.00033485758132101453,0.0004592221501857221,0.0007803873601603234,30
dconvert,psd-small.csv,0.03434089444366028,0.019186748388671952,0.02409044371256897,0.0005311333628901492,0.0003093390476682111,0.00035147997826971456,30
dconvert,svg-large.csv,0.02084792789306702,0.031422856717991526,0.04019560491592798,0.00028121188013074076,0.0004340373120511352,0.0006272941701118597,30
dconvert,svg-medium.csv,0.01721112759018638,0.0264836081177864,0.03327568164949087,0.00023680318697517075,0.00037189737047796416,0.0004215655676094737,30
dconvert,svg-small.csv,0.0236035885914493,0.013207995128671131,0.01665667417000277,0.000318153237325599,0.00017397735770284805,0.0002128680566627009,30
h2,smallbank-1.csv,0.03826049744381159,731.1824530800525,928.6678441501385,0.0009951131107924778,18.79948878224497,22.240175104597434,30
h2,smallbank-10.csv,0.02261389998869545,303.7795593238828,412.1017190464636,0.0007743296259429699,10.060505002868947,15.105943391300976,30
h2,tpcc-2.csv,0.02781141113091073,20.282222478967128,25.363575391358054,0.0007229202032194536,0.515005027502475,0.6604485332647464,30
h2,tpcc-8.csv,0.19744959490569128,106.01609756138974,165.67010608527607,0.009872628804450315,4.500708519545671,5.009674849674445,30
h2,voter-16.csv,0.019760532050444635,642.9102485135256,876.0024042159426,0.0006832370064188934,23.00537335675878,35.62800402068539,30
h2,voter-2.csv,0.019601526578287974,633.3322755877381,866.9652753968453,0.000743531596166286,24.739478813298067,41.24577249156806,30
h2,ycsb-2400.csv,0.04114779473316954,576.2089550040602,748.0148541801411,0.0011512192828538347,18.16683291419736,26.40615372255734,30
h2,ycsb-600.csv,0.03757741489329951,760.4528315409669,1006.1477427685408,0.0012238112177446055,26.7237415016925,36.223488396977814,30
jump3r,beethoven.wav.csv,0.16600694405711627,1.645288957569716,2.3952160616545943,0.003525926808081004,0.047209605882877134,0.0603288099206103,30
jump3r,dual-channel.wav.csv,0.15727300024446306,0.45450106975238325,0.6632830899358692,0.003609386002490538,0.011951419504068422,0.02020019968574159,30
jump3r,helix.wav.csv,0.16442957435676098,0.8462706505327291,1.3293516352984878,0.004191242838661951,0.027322481455293368,0.11584368014984228,30
jump3r,single-channel.wav.csv,0.1431877635133508,0.2605030914384701,0.3654381924533861,0.0030175314950017977,0.005980391925275111,0.00789199895763576,30
jump3r,speech.wav.csv,0.14373926345002794,0.6371742050944927,0.8902998895478421,0.0030451091233499312,0.013677277415809595,0.01823029410887064,30
jump3r,sweep.wav.csv,0.0925396071110934,0.056095446287878166,0.07848686171104789,0.002099448651961558,0.00144323281568864,0.0018449199042225146,30
kanzi,ambivert.csv,0.36632924018865054,4.176094253082352,7.366482006545364,0.016647429372995445,0.16479811965024296,0.48770033453336376,30
