system,dataset,repeat,MAPE,MAE,RMSE
batlik,corona.csv,0,0.03796473668586577,0.05522265625000007,0.07374545981199071
batlik,corona.csv,1,0.03539823149965865,0.05065653582739406,0.0674214275239788
batlik,corona.csv,2,0.03797447975775092,0.05528932291666688,0.07357538645035779
batlik,corona.csv,3,0.036877334443544005,0.05254696180555563,0.06885182973215227
batlik,corona.csv,4,0.03701768792949962,0.05476788194444444,0.07701811582303568
batlik,corona.csv,5,0.0361467058412247,0.050578298611111135,0.06602096211989125
batlik,corona.csv,6,0.03738833317595555,0.05290555555555553,0.06950343835169828
batlik,corona.csv,7,0.036800251302438185,0.05366391215969943,0.07445616476712684
batlik,corona.csv,8,0.035663102604873737,0.05090842013888892,0.06683289487725048
batlik,corona.csv,9,0.036357385782022494,0.054531510416666734,0.07316682175975403
batlik,corona.csv,10,0.03898082053541068,0.05566948875875092,0.07472607281397849
batlik,corona.csv,11,0.038739644291649014,0.05626362847222229,0.07795473237385395
batlik,corona.csv,12,0.03722455199156996,0.05382968750000013,0.07191239347337475
batlik,corona.csv,13,0.036765933710194085,0.054572262466892806,0.07410354601941557
batlik,corona.csv,14,0.03755765466103361,0.05494531250000017,0.07455814530452083
batlik,corona.csv,15,0.03640321709773209,0.05209244791666672,0.06976782954243671
batlik,corona.csv,16,0.038762095247461645,0.05738742693966752,0.07680275881236662
batlik,corona.csv,17,0.03792309462853458,0.053802901891056264,0.07047149019279011
batlik,corona.csv,18,0.04030346435143565,0.05700471509241198,0.07491020825071076
batlik,corona.csv,19,0.03687682344633411,0.0534418402777778,0.07277942572614732
batlik,corona.csv,20,0.03938346768596896,0.05614968432967059,0.07570162018528895
batlik,corona.csv,21,0.037838261401155086,0.054923608201870304,0.073876281579246
batlik,corona.csv,22,0.037464887634492454,0.05497092013888886,0.07397920723621337
batlik,corona.csv,23,0.034540466267094366,0.05113203125000007,0.06796659600673756
batlik,corona.csv,24,0.03692720179837404,0.0525375868055555,0.06914177623806157
batlik,corona.csv,25,0.036896423509021524,0.0509910590277778,0.06685695761936872
batlik,corona.csv,26,0.03662191458097271,0.052695746527777754,0.0697913450552291
batlik,corona.csv,27,0.03731311299668968,0.0545358506944444,0.07359153564727133
batlik,corona.csv,28,0.03480269985031967,0.05151406250000003,0.06964450592014503
batlik,corona.csv,29,0.035583501884818326,0.05291082745200715,0.07247421815562612
batlik,cranium.csv,0,0.02179740115061093,0.04274843749999994,0.05496162613335066
batlik,cranium.csv,1,0.02054390358391278,0.04129913194444446,0.05454506992183414
batlik,cranium.csv,2,0.021407306824501416,0.04265112847222216,0.05665541666053791
batlik,cranium.csv,3,0.021496123941177225,0.041588318457188245,0.05429433027545994
batlik,cranium.csv,4,0.020676068108364785,0.04110217013888901,0.05370545517727812
batlik,cranium.csv,5,0.019815297089300028,0.03908593749999999,0.05158981532375242
batlik,cranium.csv,6,0.019812570782243976,0.03846779513888872,0.05059512685999664
batlik,cranium.csv,7,0.021634064694376953,0.04300312500000005,0.05616287967883643
batlik,cranium.csv,8,0.02023346882590208,0.03980546875000003,0.05138099827277534
batlik,cranium.csv,9,0.020626181865779834,0.040682378472222364,0.053851941886670016
batlik,cranium.csv,10,0.021203274313742415,0.04179644097222221,0.054610315333264686
batlik,cranium.csv,11,0.02159026476754491,0.042703125000000036,0.055738502566922095
batlik,cranium.csv,12,0.020945422288704947,0.040801736111111146,0.05398761785765727
batlik,cranium.csv,13,0.020247326410757018,0.04055868055555566,0.05398487731917764
batlik,cranium.csv,14,0.02222829115283055,0.04331238788638424,0.0562670396018675
batlik,cranium.csv,15,0.020232287347358737,0.0388283854166666,0.050662544677105556
batlik,cranium.csv,16,0.02102406240898588,0.04146388888888877,0.053352143492813364
batlik,cranium.csv,17,0.02127401192326611,0.04170095486111122,0.05341162299868984
batlik,cranium.csv,18,0.022405849326010738,0.04361200756419433,0.05810674101119851
batlik,cranium.csv,19,0.02062296531608537,0.041100694444444676,0.054437048090993465
batlik,cranium.csv,20,0.02165927552068606,0.04172275157131589,0.05446281469480286
batlik,cranium.csv,21,0.021294675694723045,0.04318116319444459,0.057619621382209614
batlik,cranium.csv,22,0.021351781400912265,0.04251596601140828,0.05515759685285149
batlik,cranium.csv,23,0.020221918203264952,0.04049435763888887,0.05339145047202724
batlik,cranium.csv,24,0.021505552830970272,0.04266330671255247,0.05548227241755982
batlik,cranium.csv,25,0.020045575792329223,0.03917161458333339,0.05146427230404328
batlik,cranium.csv,26,0.019815793058161883,0.03981380208333326,0.05199912321476346
batlik,cranium.csv,27,0.022934367007692205,0.04585055803571435,0.05967976562640998
batlik,cranium.csv,28,0.020475877152632535,0.04078480902777789,0.05275643987974093
batlik,cranium.csv,29,0.020576655937063044,0.04138203124999998,0.05401732967652082
batlik,cubus.csv,0,0.020651917184964612,0.12521744791666697,0.15986563904649168
batlik,cubus.csv,1,0.019694673405781106,0.12125416666666647,0.15544302583105415
batlik,cubus.csv,2,0.02075811996228852,0.12738754822530846,0.16329995508929313
batlik,cubus.csv,3,0.020464741847988785,0.12480945526816462,0.16166747935730783
batlik,cubus.csv,4,0.02021056652616884,0.12307934027777806,0.1583875805919265
batlik,cubus.csv,5,0.02051303610171849,0.12135833333333333,0.15226652951230701
batlik,cubus.csv,6,0.01986604968975053,0.12025327256944458,0.15533722293668933
batlik,cubus.csv,7,0.021214409783688923,0.12988104745370346,0.16723620412228932
batlik,cubus.csv,8,0.020514869963024467,0.12391458333333366,0.15675682747513575
batlik,cubus.csv,9,0.01998224694232447,0.12293655598958367,0.15836928358764268
batlik,cubus.csv,10,0.020558817075873582,0.12464257812499972,0.15940378459386725
batlik,cubus.csv,11,0.02025520277636893,0.12265570746527765,0.1605507300034114
batlik,cubus.csv,12,0.0209261837642158,0.12854944444444416,0.16508137299021117
batlik,cubus.csv,13,0.020154883116551645,0.12440927083333336,0.15873782619551588
batlik,cubus.csv,14,0.021727862253558328,0.13162766203703757,0.16989082571398972
batlik,cubus.csv,15,0.020582895811885073,0.12422395833333333,0.15883938229015956
batlik,cubus.csv,16,0.02038707053917729,0.12522916666666672,0.16109754504366966
batlik,cubus.csv,17,0.020799702979291235,0.12432059251426969,0.15850215603212656
batlik,cubus.csv,18,0.02169620282164027,0.13116197916666644,0.16728233491511518
batlik,cubus.csv,19,0.02107228040195479,0.12710477430555536,0.16237541414015724
batlik,cubus.csv,20,0.021935876864311612,0.1319364995607272,0.17254971531533198
batlik,cubus.csv,21,0.020311145682792495,0.12607256944444448,0.16554060847231875
batlik,cubus.csv,22,0.020004622211126716,0.12484218749999987,0.16333705472482485
batlik,cubus.csv,23,0.020088970683463128,0.1232489362045971,0.15963889064097142
batlik,cubus.csv,24,0.021358165491115053,0.1283125723379627,0.16254821568679237
batlik,cubus.csv,25,0.020172825101686942,0.11952212094907362,0.1513305291905506
batlik,cubus.csv,26,0.02044380059198812,0.12721736111111118,0.16585028933415316
batlik,cubus.csv,27,0.021694009849645108,0.13381270699786327,0.17244345241014103
batlik,cubus.csv,28,0.019868055269897364,0.1234600384424601,0.16436682731310426
batlik,cubus.csv,29,0.019545274176741297,0.12112916666666673,0.157703803408082
batlik,flame.csv,0,0.02183391597652754,0.038186854634619544,0.048728762908904835
batlik,flame.csv,1,0.020630195034250655,0.03722691461352508,0.04687926657412771
batlik,flame.csv,2,0.02175313951870532,0.03941902537378036,0.04961101237359912
batlik,flame.csv,3,0.021860954175986443,0.03880112847222225,0.049034225796673575
batlik,flame.csv,4,0.022094187848567086,0.03929670138888877,0.0494144924690339
batlik,flame.csv,5,0.021394529819681252,0.037200781249999856,0.046540715215207425
batlik,flame.csv,6,0.020208488926213825,0.03581093750000003,0.045536403134378844
batlik,flame.csv,7,0.02204367394606903,0.03920442708333345,0.04954859773319923
batlik,flame.csv,8,0.021222029877082035,0.03770870697818075,0.04803413766400591
batlik,flame.csv,9,0.02132393595797273,0.037582291666666635,0.04720399711624011
batlik,flame.csv,10,0.021035693410148257,0.036848003472222245,0.04700507291070056
batlik,flame.csv,11,0.021542872532783156,0.03789982638888885,0.04755768481977084
batlik,flame.csv,12,0.02206359216171798,0.03954262152777763,0.051089457515918306
batlik,flame.csv,13,0.021232035442913435,0.03812284767019175,0.04834557544173193
batlik,flame.csv,14,0.02284977586927462,0.040390625000000076,0.051298630721383735
batlik,flame.csv,15,0.022699650843259447,0.04011032986111115,0.050840708865547805
batlik,flame.csv,16,0.02190907280275539,0.039445066550926076,0.05040843001007615
batlik,flame.csv,17,0.02167424654527352,0.03821215277777754,0.04834571060988741
batlik,flame.csv,18,0.02291546226998125,0.040862659695776134,0.05185436240508273
batlik,flame.csv,19,0.021543699271132047,0.03777361111111115,0.04783294933063057
batlik,flame.csv,20,0.022649889746535125,0.03990594400025653,0.05034239714482179
batlik,flame.csv,21,0.022893156232698973,0.041443923611111114,0.05283468740049794
batlik,flame.csv,22,0.021808499273163293,0.03933604801043946,0.04976254741268304
batlik,flame.csv,23,0.02094311467445278,0.03707800192536494,0.04715193401697279
batlik,flame.csv,24,0.021631471773445335,0.03792237971153545,0.048391552710940006
batlik,flame.csv,25,0.020796825691918115,0.0364146701388889,0.0469141630382168
batlik,flame.csv,26,0.02132674457175382,0.03828836805555562,0.04908527019381691
batlik,flame.csv,27,0.023836031406996475,0.04261848958333346,0.053779643109831424
batlik,flame.csv,28,0.020853947192412733,0.03721857638888889,0.047617880956690575
batlik,flame.csv,29,0.021336553213841838,0.038324317729282936,0.047969488278503496
batlik,france.csv,0,0.024050216715529465,0.08294965277777779,0.10677946912230675
batlik,france.csv,1,0.02272308367898364,0.07984105902777812,0.101712462256592
batlik,france.csv,2,0.024526157272723406,0.0846222222222219,0.10841968541627402
batlik,france.csv,3,0.024189854944992355,0.08273903746571645,0.10543635945189408
batlik,france.csv,4,0.023440491489180353,0.08073315972222216,0.10401062616820823
batlik,france.csv,5,0.023776042271681484,0.08201692708333334,0.10552714457516389
batlik,france.csv,6,0.023387472560376193,0.07999800347222227,0.10211240740311509
batlik,france.csv,7,0.02299354471914776,0.0803587673611112,0.10450920320568685
