,System,Dataset,MAPE_Baseline,MAPE_RF,MAPE_Δ%,MAE_Baseline,MAE_RF,MAE_Δ%,RMSE_Baseline,RMSE_RF,RMSE_Δ%
43,kanzi,misc.csv,0.4773,0.1006,-78.91%,0.4094,0.0835,-79.61%,0.6144,0.1496,-75.64%
44,kanzi,silesia.csv,3.0635,0.4156,-86.43%,83.1774,13.4855,-83.79%,129.7637,27.8054,-78.57%
45,kanzi,vmlinux.csv,28.3383,3.2899,-88.39%,164.6874,34.9402,-78.78%,224.2783,74.4019,-66.83%
46,lrzip,ambivert.wav.tar.csv,1.6743,1.7657,5.46%,14.2234,14.6631,3.09%,22.5074,22.6991,0.85%
47,lrzip,artificl.tar.csv,13.3035,13.4686,1.24%,1.2556,1.2659,0.83%,1.4156,1.3981,-1.23%
48,lrzip,deepfield.tar.csv,1.6653,1.7273,3.72%,13.9232,14.2334,2.23%,21.8207,21.8187,-0.01%
49,lrzip,enwik8.tar.csv,1.1548,1.2047,4.32%,18.9173,19.4010,2.56%,27.1075,27.3033,0.72%
50,lrzip,fannie_mae_500k.tar.csv,0.1207,0.1217,0.86%,5.1706,5.1921,0.42%,7.4364,7.3789,-0.77%
51,lrzip,large.tar.csv,1.0033,1.0255,2.20%,2.2272,2.2211,-0.27%,2.9620,2.9473,-0.50%
52,lrzip,misc.tar.csv,2.6410,2.6832,1.60%,1.2611,1.2713,0.81%,1.4468,1.4353,-0.80%
53,lrzip,silesia.tar.csv,1.3391,1.4041,4.85%,31.8649,32.7229,2.69%,45.7751,46.1156,0.74%
54,lrzip,uiq-32.bin.csv,2.2200,2.3155,4.31%,53.2350,54.5603,2.49%,75.5473,75.9708,0.56%
55,lrzip,uiq2-16.bin.csv,1.9749,2.0667,4.64%,29.1583,29.9189,2.61%,41.8839,42.2460,0.86%
56,lrzip,uiq2-4.bin.csv,1.2991,1.3415,3.27%,6.9894,7.1266,1.96%,10.5200,10.5062,-0.13%
57,lrzip,uiq2-8.bin.csv,1.5787,1.6475,4.36%,14.5263,14.8860,2.48%,21.1596,21.3247,0.78%
58,lrzip,vmlinux-5.10.tar.csv,0.8155,0.8304,1.83%,4.5417,4.5639,0.49%,6.6994,6.6375,-0.92%
59,x264,blue_sky_1080p25_short.y4m.csv,0.7751,0.2834,-63.44%,3.1476,1.7467,-44.51%,4.0818,3.0388,-25.55%
60,x264,Johnny_1280x720_60_short.y4m.csv,0.8778,0.3122,-64.44%,2.5742,1.4338,-44.30%,3.3716,2.5318,-24.91%
61,x264,Netflix_Crosswalk_4096x2160_60fps_10bit_420_short.y4m.csv,0.7744,0.2852,-63.17%,8.7266,4.8802,-44.08%,11.3121,8.4445,-25.35%
62,x264,pedestrian_area_1080p25_short.y4m.csv,0.7087,0.2710,-61.77%,3.5748,2.0295,-43.23%,4.6338,3.4900,-24.68%
63,x264,riverbed_1080p25_short.y4m.csv,0.6538,0.2645,-59.55%,6.6844,3.8741,-42.04%,8.8498,6.6738,-24.59%
64,x264,sd_bridge_close_cif_short.y4m.csv,0.5148,0.2065,-59.88%,0.1414,0.0800,-43.39%,0.1817,0.1316,-27.53%
65,x264,sd_city_4cif_short.y4m.csv,0.8230,0.2900,-64.77%,1.4844,0.8111,-45.36%,1.9104,1.4040,-26.51%
66,x264,sd_crew_cif_short.y4m.csv,0.6187,0.2455,-60.32%,0.2461,0.1394,-43.35%,0.3187,0.2358,-26.01%
67,x264,sintel_trailer_2k_720p24_short.y4m.csv,0.5114,0.2328,-54.48%,0.3703,0.2253,-39.16%,0.4679,0.3766,-19.52%
68,xz,ambivert.wav.tar.csv,1.3418,0.1456,-89.15%,13.0997,1.9103,-85.42%,16.9712,3.9398,-76.79%
69,xz,artificl.tar.csv,0.2914,0.2924,0.33%,0.0064,0.0064,-0.56%,0.0076,0.0076,-0.50%
70,xz,deepfield.tar.csv,0.6145,0.1057,-82.79%,5.7592,1.2838,-77.71%,8.0295,2.9407,-63.38%
71,xz,enwik8.tar.csv,1.9850,0.2665,-86.57%,71.3057,15.2781,-78.57%,93.4931,37.5028,-59.89%
72,xz,fannie_mae_500k.tar.csv,0.9138,0.1126,-87.68%,30.1713,4.9582,-83.57%,36.0295,9.1800,-74.52%
73,xz,large.tar.csv,0.4308,0.0914,-78.79%,1.8622,0.4009,-78.47%,2.2986,0.6710,-70.81%
