system,dataset,repeat,MAPE,MAE,RMSE
batlik,corona.csv,0,0.12241519477499471,0.18193943031587267,0.2644193157747428
batlik,corona.csv,1,0.12156852813070336,0.17997729151370967,0.25837455519553704
batlik,corona.csv,2,0.12327950254175551,0.18421500350995212,0.26759632465623495
batlik,corona.csv,3,0.12460011573894746,0.18293256137792488,0.25918005182163867
batlik,corona.csv,4,0.1217851516221556,0.18346736644323705,0.2678749970828851
batlik,corona.csv,5,0.12159429178274801,0.17805703035265044,0.2521831357686493
batlik,corona.csv,6,0.1213106641846572,0.172240795693537,0.24687245509394487
batlik,corona.csv,7,0.12429759327817862,0.18451213679457165,0.26335493519811304
batlik,corona.csv,8,0.11780102461793567,0.17484532219704998,0.2537231952414421
batlik,corona.csv,9,0.12121181286888433,0.18629203375050574,0.26907328626523247
batlik,corona.csv,10,0.11902227719945897,0.17681470994734635,0.25420310211126546
batlik,corona.csv,11,0.12647268546621182,0.1899521404771179,0.27270327772279906
batlik,corona.csv,12,0.11872912805816026,0.17887927780078247,0.25828695546156405
batlik,corona.csv,13,0.1197962096596298,0.17829574644620427,0.25628012992532156
batlik,corona.csv,14,0.12334184044277244,0.18775653067460893,0.2772280975682341
batlik,corona.csv,15,0.11503551763279805,0.1673003618722776,0.24303298942597626
batlik,corona.csv,16,0.12387114995811545,0.18442750594137275,0.26593530458078823
batlik,corona.csv,17,0.11994526361687921,0.174301952427036,0.24717142073095671
batlik,corona.csv,18,0.12989744360699138,0.1927324416376181,0.2719562547629743
batlik,corona.csv,19,0.12432231682199554,0.18264118096966236,0.2607118517770313
batlik,corona.csv,20,0.12288093094077346,0.18226370227358915,0.26464522814122177
batlik,corona.csv,21,0.11868322087145468,0.1826631462696761,0.26843258713739543
batlik,corona.csv,22,0.11842344683695281,0.17860946783062712,0.2591073216055945
batlik,corona.csv,23,0.11626001130356227,0.17551526643342244,0.24974343067252888
batlik,corona.csv,24,0.1206032397661379,0.1844110660910118,0.2679013766942858
batlik,corona.csv,25,0.1242252432372099,0.17664379267006625,0.24840538314072216
batlik,corona.csv,26,0.12030966800830306,0.18047123187693528,0.26359385604502067
batlik,corona.csv,27,0.12856867804711034,0.1911255732720339,0.2707809661607836
batlik,corona.csv,28,0.12893066154038843,0.19529394452523963,0.27437835232085356
batlik,corona.csv,29,0.11400178785710767,0.17508144288121308,0.2593566831563898
batlik,cranium.csv,0,0.033783458113534295,0.07091935751133599,0.10051737387487686
batlik,cranium.csv,1,0.03304655790054954,0.07016554911070022,0.0974098379146967
batlik,cranium.csv,2,0.03421318242312508,0.07095706546399791,0.09956355908750214
batlik,cranium.csv,3,0.033296482957127754,0.06918878341171794,0.09436423244002383
batlik,cranium.csv,4,0.03416575377443773,0.07019854978864168,0.09678478114034225
batlik,cranium.csv,5,0.03240791307459842,0.06735966037476879,0.09381124831125304
batlik,cranium.csv,6,0.03204196886375613,0.06591975454880113,0.09319869658017035
batlik,cranium.csv,7,0.03358347151255528,0.06894948511606322,0.0952455141869759
batlik,cranium.csv,8,0.032350012895210584,0.0680435562966578,0.09387337163108019
batlik,cranium.csv,9,0.033914058178989216,0.07075893223183913,0.09954559698306667
batlik,cranium.csv,10,0.03321139083256217,0.06777454405396689,0.0931736168291434
batlik,cranium.csv,11,0.03508369804735851,0.07300266899592442,0.10208297773164411
batlik,cranium.csv,12,0.0331286069517172,0.06963679430747968,0.09883254706355976
batlik,cranium.csv,13,0.03136934180536416,0.066910286563537,0.09673009130565505
batlik,cranium.csv,14,0.03479229391297768,0.0710939269608349,0.0990384921142447
batlik,cranium.csv,15,0.031403636005980264,0.06580872088277522,0.09145633782685632
batlik,cranium.csv,16,0.03461739152293223,0.07189539716502992,0.10018140989753181
batlik,cranium.csv,17,0.03185951590632771,0.06613632715051569,0.09222331912384328
batlik,cranium.csv,18,0.035113380154913706,0.07347896867789977,0.10352072067057805
batlik,cranium.csv,19,0.03289290522099699,0.06810101268388287,0.09607938590947986
batlik,cranium.csv,20,0.03320080985744915,0.06859971977040348,0.09776319004073217
batlik,cranium.csv,21,0.03347808323691342,0.0705592259519941,0.09826705126569209
batlik,cranium.csv,22,0.03205066108644661,0.0675316936800797,0.09518205145764319
batlik,cranium.csv,23,0.030404705479619223,0.06461588401429706,0.09056303434332469
batlik,cranium.csv,24,0.03354933787071543,0.07135220644432513,0.09999033248339581
batlik,cranium.csv,25,0.03295466942343917,0.06771737211362239,0.09282181149649116
batlik,cranium.csv,26,0.03331216221370801,0.07112143635363963,0.0986258600122869
batlik,cranium.csv,27,0.03441796790674739,0.07231160452904836,0.09910920919458469
batlik,cranium.csv,28,0.03444510673380724,0.0716529392526794,0.09863094084579963
batlik,cranium.csv,29,0.030818924893889797,0.06530190122766782,0.09531042255213473
batlik,cubus.csv,0,0.0401842933188327,0.24618623939385909,0.34517707178541157
batlik,cubus.csv,1,0.03883773741862484,0.240260633727496,0.3354833047164764
batlik,cubus.csv,2,0.03980190683883084,0.24712501441321896,0.3417860889616839
batlik,cubus.csv,3,0.04030314256215081,0.2487647377254904,0.3365070632378324
batlik,cubus.csv,4,0.039863493880301984,0.24351075491060964,0.3297215663434622
batlik,cubus.csv,5,0.03891487220773731,0.236438328898234,0.326374553560941
batlik,cubus.csv,6,0.038816419015325,0.23729912751055762,0.3265187614971273
batlik,cubus.csv,7,0.03896402203099517,0.24078661548770108,0.3266946937324362
batlik,cubus.csv,8,0.03924898613609697,0.2412959896677814,0.33910196913066104
batlik,cubus.csv,9,0.03945795237221648,0.24372968650151938,0.3347512225484284
batlik,cubus.csv,10,0.03839852134529938,0.23378844693985423,0.3113153713170595
batlik,cubus.csv,11,0.03991666389762261,0.24692896497407768,0.3401432095008255
batlik,cubus.csv,12,0.03817850183956019,0.23781460463926113,0.3269559797941355
batlik,cubus.csv,13,0.038954820717052266,0.24027110982087585,0.3354192877117731
batlik,cubus.csv,14,0.040054690114469986,0.2458724117229627,0.33656860775908265
batlik,cubus.csv,15,0.0380488249814221,0.23201475617155434,0.3237034647684172
batlik,cubus.csv,16,0.039629504071049516,0.24289094970424965,0.32966230811426295
batlik,cubus.csv,17,0.03766877336226273,0.2297451632932606,0.3137833172574279
batlik,cubus.csv,18,0.04234498936121315,0.25882046164245603,0.35415604425038355
batlik,cubus.csv,19,0.03983617798203439,0.2418174105598331,0.33388221526400197
batlik,cubus.csv,20,0.038889736623748034,0.24037825129129922,0.33781452674812007
batlik,cubus.csv,21,0.03869071486457113,0.24152100043684077,0.32976155689696574
batlik,cubus.csv,22,0.039022234483626836,0.24347920410189772,0.33678764692044144
batlik,cubus.csv,23,0.036775402888083425,0.22841427414992813,0.3194047106057093
batlik,cubus.csv,24,0.041008284998314125,0.25078164747863063,0.3357478656938276
batlik,cubus.csv,25,0.039446365809909976,0.23970516920550317,0.33120380743471967
batlik,cubus.csv,26,0.04067033649183585,0.2527891302740907,0.34232998398857845
batlik,cubus.csv,27,0.04185218868953597,0.2587620495861804,0.35204340645146265
batlik,cubus.csv,28,0.039729460042770705,0.24907253655296172,0.3387874747759887
batlik,cubus.csv,29,0.03748909452436874,0.23437709105339188,0.3275465092436688
batlik,flame.csv,0,0.03255260099884655,0.05814233633430668,0.07982921441111307
batlik,flame.csv,1,0.03186024008405122,0.05779722323368435,0.07666953712218877
batlik,flame.csv,2,0.03221665998978661,0.05817951915503566,0.07776199507454122
batlik,flame.csv,3,0.03233343582721134,0.058017923730265965,0.07649246150880702
batlik,flame.csv,4,0.03275311083160657,0.058716063808394975,0.07747593126899609
batlik,flame.csv,5,0.03277723560714515,0.058294478977843824,0.07585982010104839
batlik,flame.csv,6,0.030289630294661956,0.05431081817636009,0.07310327989839958
batlik,flame.csv,7,0.032185246184812145,0.057732869283433054,0.07724518227827516
batlik,flame.csv,8,0.03125220625959306,0.056592364818967754,0.07574967971436748
batlik,flame.csv,9,0.03235217556501762,0.057851182684769756,0.0774837056381523
batlik,flame.csv,10,0.03164883623522184,0.05618127739568822,0.07339633354984401
batlik,flame.csv,11,0.03284221515888058,0.05900368802623766,0.0789334401358729
batlik,flame.csv,12,0.0316543906996454,0.05771147672117195,0.07701533404971414
batlik,flame.csv,13,0.03138252467746213,0.05657415321803997,0.07639230956974953
batlik,flame.csv,14,0.03344553493800606,0.05979900486780708,0.07967228651316491
batlik,flame.csv,15,0.030956834890916347,0.05558881689568591,0.07438931762005602
batlik,flame.csv,16,0.03225300837691854,0.057908735814848455,0.07715048865873861
batlik,flame.csv,17,0.031282868368257694,0.05608844200658404,0.07419395267908972
batlik,flame.csv,18,0.03448097121025379,0.061754305838760626,0.0813853419131119
batlik,flame.csv,19,0.03195805853352924,0.056572227945119985,0.07718698581153466
batlik,flame.csv,20,0.031251183372722306,0.05620620908998661,0.07613093324741114
batlik,flame.csv,21,0.03240205887509857,0.059161896938011466,0.0785725258279802
batlik,flame.csv,22,0.031969531201078406,0.05792934278030318,0.07690250351881006
batlik,flame.csv,23,0.030176198260200942,0.05466169169952081,0.07264786548993059
batlik,flame.csv,24,0.033199600101397414,0.05927445972229031,0.07838984157447933
