system,dataset,MAPE_avg,MAE_avg,RMSE_avg,MAPE_std,MAE_std,RMSE_std,num_repeats
batlik,corona.csv,0.1217728200137658,0.18145531514222843,0.26121689404133763,0.003759752267272823,0.006143159964337852,0.008824383584214253,30
batlik,cranium.csv,0.033163581625258336,0.0692354441544709,0.0967965671438203,0.0012107710952511874,0.002355957928814592,0.0032137795987612055,30
batlik,cubus.csv,0.039366603762328777,0.24248805872785256,0.3333044530003772,0.001180112019331081,0.007266534708011753,0.009426908987456375,30
batlik,flame.csv,0.03199644760620129,0.05754965544082078,0.07676362016851054,0.0010648647260428517,0.0018266120733682583,0.0021434246614029217,30
batlik,france.csv,0.03930323882225836,0.14498518089012385,0.19236882853143344,0.0013632187070845767,0.004894928739121016,0.004966653050418862,30
batlik,frisco.csv,0.050857231619272185,0.24677516754000728,0.33276204496161377,0.001702016097848056,0.007742867831565578,0.011734870588542496,30
batlik,jelly.csv,0.16971457804062223,0.32455179922411426,0.44517939453406524,0.004029083251131351,0.0076108529610327295,0.018217483890366804,30
batlik,karte.csv,0.1505235438892538,1.493236859681247,1.8787402830995417,0.0029506413626370974,0.020667062066822294,0.040183381340699445,30
batlik,mandelbrot.csv,0.046420785064138305,0.06144624179170797,0.08449372700332179,0.00131433911807932,0.001754335697047831,0.0019914887061187117,30
batlik,strawberry.csv,0.05471116157247802,0.09418986129068725,0.131303211718096,0.0018150661881839152,0.0032360664737486,0.004929425664236048,30
batlik,village.csv,0.5694988225820727,1.805364385301525,2.4727319750751904,0.018006337499041337,0.04016377290659332,0.09551822039068962,30
dconvert,jpeg-large.csv,0.13436951960078014,0.41687847037029985,0.5656618232162682,0.0023554263823959694,0.006003299235654322,0.011085529207987098,30
dconvert,jpeg-medium.csv,0.10188814187115051,0.17757074134772893,0.24130058006927105,0.0017263790534231649,0.002613999554535313,0.004743539666755006,30
dconvert,jpeg-small.csv,0.03501096932062178,0.015025345818630834,0.019151365249465337,0.0004780632609847033,0.0002222647458466461,0.0003064081642769093,30
dconvert,png-large.csv,0.09221649998297492,0.21842663306698348,0.280133998780474,0.0012366390674253892,0.002616145438258476,0.005037022124977274,30
dconvert,png-medium.csv,0.03550576650468218,0.02310534917605198,0.029169715080655082,0.00043693195044699557,0.0003001778787465833,0.0004232073681830837,30
dconvert,png-small.csv,0.03314072271519446,0.014905708272516138,0.01973968320863205,0.00041535285954247817,0.0001763531644324354,0.0003062238327513934,30
dconvert,psd-large.csv,0.014282560853088056,0.5346605888531752,0.8718551788942321,0.0002233325885493917,0.00913938390907784,0.023735916295463663,30
dconvert,psd-medium.csv,0.05178360930817874,0.06731582007523636,0.08950027487165993,0.0006029520449140496,0.0008396401470205411,0.001883475359161096,30
dconvert,psd-small.csv,0.03580608498358762,0.020048923313339607,0.02496812161787972,0.0005424838954807115,0.00032065903901690813,0.00037161963442585273,30
dconvert,svg-large.csv,0.02036727941783509,0.03070416651450602,0.03923599040970436,0.00027603699094139254,0.00043134741799228635,0.0006420798440327683,30
dconvert,svg-medium.csv,0.017203128157398457,0.0264743104171671,0.03312663046206676,0.00024065766153066838,0.00037638965644216476,0.000436948700849163,30
dconvert,svg-small.csv,0.03583043246029004,0.020194149100323022,0.025318347922370813,0.0006262533313902524,0.0003276123955345781,0.0003928667438756308,30
h2,smallbank-1.csv,0.057500261107073104,1126.7036638765271,1357.419733146878,0.0010361345295230825,19.22088685040501,21.210313787519368,30
h2,smallbank-10.csv,0.0463374376056723,629.8215605146619,761.0109493395341,0.0010525634899694175,13.566121279435093,16.732878947200856,30
h2,tpcc-2.csv,0.04180190182916962,30.551742795479303,37.73136922792999,0.0011467861579410553,0.7784906903755427,0.8058656505202632,30
h2,tpcc-8.csv,0.19965106087604845,106.60304832366076,161.185217431653,0.009298602414433503,4.152345159814116,4.479098553730009,30
h2,voter-16.csv,0.0760782509275763,2398.283684824231,2660.255276068911,0.0012814040596627891,32.89097999097483,43.77408798473043,30
h2,voter-2.csv,0.08018681601236075,2512.770811652158,2782.3108675915523,0.0011627910671136756,29.96412773745074,35.99338269796576,30
h2,ycsb-2400.csv,0.09066194326335167,1278.776640632714,1574.4267981047706,0.0019574443243213385,26.171816387193868,39.06046790811924,30
h2,ycsb-600.csv,0.08370695591933151,1684.4011471837055,2077.441981420873,0.002226726032965066,32.389033362760046,41.396424335788666,30
jump3r,beethoven.wav.csv,0.2570516446699924,2.252453186204851,2.8903033853583393,0.0062531311038474926,0.04182589665872288,0.04667495775803835,30
jump3r,dual-channel.wav.csv,0.23421483993110453,0.6145258134535039,0.8476570610503108,0.006676849122134803,0.01693424995233087,0.024708557545280955,30
jump3r,helix.wav.csv,0.2542821915689203,1.097725087027719,1.5430423282724892,0.007871873441868208,0.030893678186973163,0.10166334046083696,30
jump3r,single-channel.wav.csv,0.18950620145892358,0.3238085953615606,0.42598892421570794,0.004620725731144884,0.007387533742129078,0.009347930147768314,30
jump3r,speech.wav.csv,0.1995090743703326,0.8105148849467573,1.019107073284755,0.00468502923201794,0.015101543554406916,0.01688786261740027,30
jump3r,sweep.wav.csv,0.11963014513636736,0.06974863861272063,0.08820266612258919,0.0022146192591065155,0.001353118117209299,0.001581912147606715,30
kanzi,ambivert.csv,1.4826634053264973,17.242103920555188,27.745094477359086,0.0720547331106516,0.4091362957267125,0.7504677680879958,30
kanzi,artificl.csv,0.4812700874832932,0.1998530036726203,0.29344439607823253,0.015309788766870985,0.003857878415006832,0.006030946574905976,30
kanzi,deepfield.csv,17.493682907089404,19.046664581436534,29.03231089376486,1.4190303922007959,0.4411986468001512,0.7883610632010101,30
kanzi,enwik8.csv,2.744115444205592,39.94926380768314,62.46096561620978,0.14687493700710397,0.9244314906926895,1.7639756297532834,30
kanzi,fannie_mae_500k.csv,4.2685480696542175,35.0611608058258,53.88514345848297,0.21877593488952948,0.830195602217436,1.532163746427793,30
